dominio,imagen,unsharp,secuencia,componentes,pequenas,area,estabilidad,comp_base
clima,clima_09_larsen_b_collapse.jpg,True,cierre,99,0.98989898989899,72.09025142314991,0.9666528232130284,331
clima,clima_09_larsen_b_collapse.jpg,True,ap>ci,17,0.5294117647058824,50.896880929791266,0.9365581915059003,331
clima,clima_09_larsen_b_collapse.jpg,True,ci>ap,3,0.0,70.9366105313093,0.9639909138639564,331
clima,clima_10_marine_debris.jpg,False,ninguna,484,0.9628099173553719,59.140625,0.9905742836301602,484
clima,clima_10_marine_debris.jpg,False,apertura,29,0.5862068965517241,48.421549479166664,0.9868857191654944,484
clima,clima_10_marine_debris.jpg,False,cierre,50,0.88,71.7724609375,0.9940713323425596,484
clima,clima_10_marine_debris.jpg,False,ap>ci,22,0.5454545454545454,49.192708333333336,0.9875411136629344,484
clima,clima_10_marine_debris.jpg,False,ci>ap,14,0.2857142857142857,69.87467447916667,0.993184160251499,484
clima,clima_10_marine_debris.jpg,True,ninguna,675,0.9792592592592593,59.47591145833333,0.9846402681581513,484
clima,clima_10_marine_debris.jpg,True,apertura,29,0.6551724137931034,42.828776041666664,0.9847408629480313,484
clima,clima_10_marine_debris.jpg,True,cierre,49,0.8979591836734694,78.060546875,0.9928933254182093,484
clima,clima_10_marine_debris.jpg,True,ap>ci,21,0.5714285714285714,43.8720703125,0.9854795998841852,484
clima,clima_10_marine_debris.jpg,True,ci>ap,8,0.25,76.6416015625,0.9930825283618399,484
