dominio,imagen,filtro,ruido_rel,epi,ssim,fom
clima,clima_03_terminal_moraine.jpg,mediana k=3,0.3601314545352004,0.38451507687568665,0.7619469537002961,0.24603910294973125
clima,clima_03_terminal_moraine.jpg,mediana k=5,0.20174940837267277,0.21394187211990356,0.6114287956320945,0.170779225993571
clima,clima_03_terminal_moraine.jpg,gauss s=0.5,0.46881601752811153,0.9723466038703918,0.9657707023806372,0.5164949413868906
clima,clima_03_terminal_moraine.jpg,gauss s=0.6,0.2643552530299732,0.9085521697998047,0.9163507988466714,0.6683716310614461
clima,clima_03_terminal_moraine.jpg,gauss s=0.8,0.1112034098402803,0.7161529660224915,0.8265834346173401,0.63651431423356
clima,clima_03_terminal_moraine.jpg,gauss s=1.0,0.06502812179315304,0.5340585708618164,0.7564032820562573,0.499329745071137
clima,clima_03_terminal_moraine.jpg,gauss s=1.2,0.049593981863798584,0.42211323976516724,0.7038811885986704,0.40117896340778425
clima,clima_03_terminal_moraine.jpg,gauss s=1.6,0.04093752333505468,0.25572067499160767,0.6179395722234419,0.24525210389188282
clima,clima_03_terminal_moraine.jpg,gauss s=2.0,0.03954096461956732,0.17573709785938263,0.5626040695144184,0.16878828349057934
clima,clima_04_brevent_chamonix.jpg,media k=3,0.11294582229762185,0.0658971443772316,0.7874170918394257,0.05845433721848007
clima,clima_04_brevent_chamonix.jpg,media k=5,0.05856778871533316,0.018798604607582092,0.6481240233129734,0.017697611904782137
clima,clima_04_brevent_chamonix.jpg,mediana k=3,0.3894328578080984,0.36425256729125977,0.8141848720660763,0.22240064904708784
clima,clima_04_brevent_chamonix.jpg,mediana k=5,0.22116552289859018,0.21291887760162354,0.6851499739722333,0.16582856270187954
clima,clima_04_brevent_chamonix.jpg,gauss s=0.5,0.4719693139136851,0.9726295471191406,0.9725426197422254,0.5135782470731416
clima,clima_04_brevent_chamonix.jpg,gauss s=0.6,0.26775757799574196,0.9083594679832458,0.9331685249575393,0.6651393368865512
clima,clima_04_brevent_chamonix.jpg,gauss s=0.8,0.1157187147539126,0.7108923196792603,0.8606667712984871,0.6286287741175487
clima,clima_04_brevent_chamonix.jpg,gauss s=1.0,0.07001524995997171,0.5295804142951965,0.8019941012572664,0.49250170921441294
clima,clima_04_brevent_chamonix.jpg,gauss s=1.2,0.054257126618174036,0.421379953622818,0.7560477552755451,0.39851708812474446
clima,clima_04_brevent_chamonix.jpg,gauss s=1.6,0.044881904502216165,0.2691676616668701,0.6770469979366287,0.2570869043808528
clima,clima_04_brevent_chamonix.jpg,gauss s=2.0,0.043573933976197514,0.18763670325279236,0.6228051863636634,0.17946063393374384
clima,clima_05_hurricane_michael.jpg,media k=3,0.1108521373784942,0.08833817392587662,0.7543666084590855,0.07854569853408003
clima,clima_05_hurricane_michael.jpg,media k=5,0.05585225946295432,-0.030528347939252853,0.594409622732413,-0.028823270729174354
clima,clima_05_hurricane_michael.jpg,mediana k=3,0.391371070358103,0.29434934258461,0.7748749385390132,0.17914952531806722
clima,clima_05_hurricane_michael.jpg,mediana k=5,0.2185434473182353,0.12242476642131805,0.6247033753718534,0.09566963593047348
clima,clima_05_hurricane_michael.jpg,gauss s=0.5,0.46957561342469445,0.9737255573272705,0.9693933102464884,0.516487781438015
clima,clima_05_hurricane_michael.jpg,gauss s=0.6,0.2667865856467786,0.9131425023078918,0.9248816630519574,0.6695283319082137
clima,clima_05_hurricane_michael.jpg,gauss s=0.8,0.11425061520071955,0.7268800139427185,0.8418184101275527,0.6438335251726554
clima,clima_05_hurricane_michael.jpg,gauss s=1.0,0.06818334235432534,0.5499012470245361,0.7744380809289694,0.5124071420375917
clima,clima_05_hurricane_michael.jpg,gauss s=1.2,0.051468819684124964,0.44130605459213257,0.7218982010931685,0.4185925528428175
clima,clima_05_hurricane_michael.jpg,gauss s=1.6,0.041291726507386765,0.28085950016975403,0.632071797616517,0.2692623265017432
