caso,sigma,secuencia,radio,semilla,dice,objetos_ok
A,1.0,cierre,5,13,0.9274019153537226,0
A,1.0,ap>ci,3,13,0.9523355576739753,0
A,1.0,ap>ci,5,13,0.9803471994759253,1
A,1.0,ci>ap,3,13,0.952214637244007,1
A,1.0,ci>ap,5,13,0.973385264524505,1
A,2.0,ninguna,5,13,0.9455750118315192,0
A,2.0,apertura,3,13,0.9535327816677276,1
A,2.0,apertura,5,13,0.9768427919112851,1
A,2.0,cierre,3,13,0.9445319886542705,0
A,2.0,cierre,5,13,0.9442695214105793,0
A,2.0,ap>ci,3,13,0.9523204068658614,1
A,2.0,ap>ci,5,13,0.9768427919112851,1
A,2.0,ci>ap,3,13,0.9521690767519466,1
A,2.0,ci>ap,5,13,0.9725871857258719,1
A,1.0,ninguna,5,14,0.9286596664607782,0
A,1.0,apertura,3,14,0.9512658227848101,1
A,1.0,apertura,5,14,0.978494623655914,1
A,1.0,cierre,3,14,0.9263935940868494,0
A,1.0,cierre,5,14,0.9227941176470589,0
A,1.0,ap>ci,3,14,0.948713902477513,0
A,1.0,ap>ci,5,14,0.9786610197100505,1
A,1.0,ci>ap,3,14,0.9460437313198049,1
A,1.0,ci>ap,5,14,0.9698727243434832,1
A,2.0,ninguna,5,14,0.9385910224438903,0
A,2.0,apertura,3,14,0.9406435488909716,0
A,2.0,apertura,5,14,0.9698824287324851,1
A,2.0,cierre,3,14,0.938006230529595,0
A,2.0,cierre,5,14,0.9378988326848249,0
A,2.0,ap>ci,3,14,0.9403497813866334,0
A,2.0,ap>ci,5,14,0.9702141362099501,1
A,2.0,ci>ap,3,14,0.9397627965043696,0
A,2.0,ci>ap,5,14,0.9643142902864459,1
A,1.0,ninguna,5,15,0.9355191256830601,0
A,1.0,apertura,3,15,0.9588470776621297,1
A,1.0,apertura,5,15,0.9783889980353635,1
A,1.0,cierre,3,15,0.9339769542198691,0
A,1.0,cierre,5,15,0.933519726623175,0
A,1.0,ap>ci,3,15,0.9573277928719833,1
A,1.0,ap>ci,5,15,0.9783889980353635,1
A,1.0,ci>ap,3,15,0.9552333917476502,1
A,1.0,ci>ap,5,15,0.972168284789644,1
A,2.0,ninguna,5,15,0.9463044851547694,1
A,2.0,apertura,3,15,0.9582600351831121,1
A,2.0,apertura,5,15,0.9768201110022854,1
A,2.0,cierre,3,15,0.9466876971608833,1
A,2.0,cierre,5,15,0.9457413249211356,1
A,2.0,ap>ci,3,15,0.9587727708533078,1
A,2.0,ap>ci,5,15,0.9768201110022854,1
A,2.0,ci>ap,3,15,0.9583266805045505,1
A,2.0,ci>ap,5,15,0.9719383617193836,1
A,1.0,ninguna,5,16,0.9325668116842759,0
A,1.0,apertura,3,16,0.9550955414012738,1
A,1.0,apertura,5,16,0.9832732043292883,1
A,1.0,cierre,3,16,0.9284721149389773,0
A,1.0,cierre,5,16,0.9223926380368098,0
A,1.0,ap>ci,3,16,0.9536066094693358,1
A,1.0,ap>ci,5,16,0.9836065573770492,1
A,1.0,ci>ap,3,16,0.9483982957235285,0
A,1.0,ci>ap,5,16,0.9710777185328809,1
A,2.0,ninguna,5,16,0.9428212378259504,0
A,2.0,apertura,3,16,0.9481504900411002,1
A,2.0,apertura,5,16,0.9741757349358454,1
A,2.0,cierre,3,16,0.9419334588826114,0
A,2.0,cierre,5,16,0.9405134627426425,0
A,2.0,ap>ci,3,16,0.945907585554329,0
A,2.0,ap>ci,5,16,0.974342318934719,1
A,2.0,ci>ap,3,16,0.9454602774274905,0
A,2.0,ci>ap,5,16,0.9713823767178658,1
A,1.0,ninguna,5,17,0.9387243378780755,0
A,1.0,apertura,3,17,0.9673244904561631,0
A,1.0,apertura,5,17,0.9850107066381156,1
A,1.0,cierre,3,17,0.9355995633868704,0
A,1.0,cierre,5,17,0.9166285627190977,0
A,1.0,ap>ci,3,17,0.9657843770174306,1
A,1.0,ap>ci,5,17,0.9853449695372962,1
A,1.0,ci>ap,3,17,0.9610514505529733,1
A,1.0,ci>ap,5,17,0.9640680141161373,1
A,2.0,ninguna,5,17,0.9530903328050713,0
A,2.0,apertura,3,17,0.9615877080665813,1
A,2.0,apertura,5,17,0.9808979591836735,1
A,2.0,cierre,3,17,0.9523357086302454,0
A,2.0,cierre,5,17,0.9524865378523915,0
A,2.0,ap>ci,3,17,0.9608188069726531,1
A,2.0,ap>ci,5,17,0.9808979591836735,1
A,2.0,ci>ap,3,17,0.9598977472439687,1
A,2.0,ci>ap,5,17,0.9808979591836735,1
A,1.0,ninguna,5,18,0.9286596664607782,0
A,1.0,apertura,3,18,0.9588516746411483,1
A,1.0,apertura,5,18,0.9797650130548303,1
A,1.0,cierre,3,18,0.9274603419066687,0
A,1.0,cierre,5,18,0.9232654311533159,0
A,1.0,ap>ci,3,18,0.9587250996015936,1
A,1.0,ap>ci,5,18,0.9799314733235438,1
A,1.0,ci>ap,3,18,0.9563145353455124,1
A,1.0,ci>ap,5,18,0.9754045307443365,1
A,2.0,ninguna,5,18,0.9449411764705883,0
A,2.0,apertura,3,18,0.9548264384213029,1
A,2.0,apertura,5,18,0.9738033635187581,1
A,2.0,cierre,3,18,0.9444009397024276,0
A,2.0,cierre,5,18,0.943609022556391,0
A,2.0,ap>ci,3,18,0.954084863837872,1
A,2.0,ap>ci,5,18,0.9736459175424413,1
A,2.0,ci>ap,3,18,0.9538120847832964,1
A,2.0,ci>ap,5,18,0.9669235709698137,1
A,1.0,ninguna,5,19,0.9346639638234836,0
A,1.0,apertura,3,19,0.9600513396438313,0
A,1.0,apertura,5,19,0.9830675653460463,1
A,1.0,cierre,3,19,0.9340796019900498,0
A,1.0,cierre,5,19,0.9285824463982724,0
A,1.0,ap>ci,3,19,0.9584133077415227,1
A,1.0,ap>ci,5,19,0.9832347140039448,1
A,1.0,ci>ap,3,19,0.9567989797545035,0
A,1.0,ci>ap,5,19,0.9737779216574943,1
A,2.0,ninguna,5,19,0.9467213114754098,0
A,2.0,apertura,3,19,0.9528646246627519,1
A,2.0,apertura,5,19,0.9765625,1
A,2.0,cierre,3,19,0.9461586901763224,0
A,2.0,cierre,5,19,0.9458949355143127,0
A,2.0,ap>ci,3,19,0.9501818756919184,0
A,2.0,ap>ci,5,19,0.9767290480065094,1
A,2.0,ci>ap,3,19,0.9515516149461685,1
A,2.0,ci>ap,5,19,0.9737439222042139,1
A,1.0,ninguna,5,20,0.9361834919644251,0
A,1.0,apertura,3,20,0.9521842732327244,0
A,1.0,apertura,5,20,0.9797253106605625,1
A,1.0,cierre,3,20,0.9358055468993456,0
A,1.0,cierre,5,20,0.9342043863742417,0
A,1.0,ap>ci,3,20,0.9509912767644726,0
A,1.0,ap>ci,5,20,0.97989867625429,1
A,1.0,ci>ap,3,20,0.9513239257967337,0
A,1.0,ci>ap,5,20,0.9767138902458883,1
A,2.0,ninguna,5,20,0.9435331230283912,0
A,2.0,apertura,3,20,0.9460528397405474,0
A,2.0,apertura,5,20,0.9742419302249755,1
A,2.0,cierre,3,20,0.9426410337220297,0
A,2.0,cierre,5,20,0.9423622047244095,0
A,2.0,ap>ci,3,20,0.9442602242223275,0
A,2.0,ap>ci,5,20,0.9742419302249755,1
A,2.0,ci>ap,3,20,0.9451556819977872,0
A,2.0,ci>ap,5,20,0.9668445738314734,1
A,1.0,ninguna,5,21,0.9316001238006809,0
A,1.0,apertura,3,21,0.9567567567567568,1
A,1.0,apertura,5,21,0.9821924522136906,1
A,1.0,cierre,3,21,0.9296947271045328,0
A,1.0,cierre,5,21,0.9261703760552571,0
A,1.0,ap>ci,3,21,0.9549492385786802,1
A,1.0,ap>ci,5,21,0.9821924522136906,1
A,1.0,ci>ap,3,21,0.953661236754705,1
A,1.0,ci>ap,5,21,0.9747817652764307,1
A,2.0,ninguna,5,21,0.945141065830721,0
A,2.0,apertura,3,21,0.945716975211798,0
A,2.0,apertura,5,21,0.975696694750486,1
A,2.0,cierre,3,21,0.9450274079874706,0
A,2.0,cierre,5,21,0.9439924906132666,0
A,2.0,ap>ci,3,21,0.9456027590531432,0
A,2.0,ap>ci,5,21,0.975696694750486,1
A,2.0,ci>ap,3,21,0.9456027590531432,0
A,2.0,ci>ap,5,21,0.9703894431927905,1
A,1.0,ninguna,5,22,0.9322191272051996,0
A,1.0,apertura,3,22,0.9475838186683456,0
A,1.0,apertura,5,22,0.9809228762432741,1
A,1.0,cierre,3,22,0.9313165611977157,0
A,1.0,cierre,5,22,0.9201462968607131,0
A,1.0,ap>ci,3,22,0.94702090866216,0
A,1.0,ap>ci,5,22,0.9814211212516297,1
A,1.0,ci>ap,3,22,0.9469387755102041,0
A,1.0,ci>ap,5,22,0.9595927457842826,1
A,2.0,ninguna,5,22,0.9426652085611623,0
A,2.0,apertura,3,22,0.9433844228964654,0
A,2.0,apertura,5,22,0.9738287560581583,1
A,2.0,cierre,3,22,0.9422776911076443,0
A,2.0,cierre,5,22,0.941983780411728,0
A,2.0,ap>ci,3,22,0.943125,0
A,2.0,ap>ci,5,22,0.974002906507347,1
A,2.0,ci>ap,3,22,0.9427189012018106,0
A,2.0,ci>ap,5,22,0.9707301383081377,1
A,1.0,ninguna,5,23,0.9254792826221397,0
A,1.0,apertura,3,23,0.9564660691421255,1
A,1.0,apertura,5,23,0.9793239251723006,1
A,1.0,cierre,3,23,0.9249267766301834,0
A,1.0,cierre,5,23,0.9231005844355583,0
A,1.0,ap>ci,3,23,0.9554099408662298,1
A,1.0,ap>ci,5,23,0.9793239251723006,1
A,1.0,ci>ap,3,23,0.9552333917476502,1
A,1.0,ci>ap,5,23,0.9703643724696356,1
A,2.0,ninguna,5,23,0.9440856827846905,0
A,2.0,apertura,3,23,0.9518359561278016,1
A,2.0,apertura,5,23,0.9704928664072633,1
A,2.0,cierre,3,23,0.9436575385583884,0
A,2.0,cierre,5,23,0.9432479169941833,0
A,2.0,ap>ci,3,23,0.9513977128335451,1
A,2.0,ap>ci,5,23,0.9704928664072633,1
A,2.0,ci>ap,3,23,0.9513977128335451,1
A,2.0,ci>ap,5,23,0.9667849080941632,1
A,1.0,ninguna,5,24,0.9335205992509363,0
A,1.0,apertura,3,24,0.9606172641054492,1
A,1.0,apertura,5,24,0.9815728858177032,1
A,1.0,cierre,3,24,0.9306807584706248,0
A,1.0,cierre,5,24,0.9241188240726489,0
A,1.0,ap>ci,3,24,0.959409594095941,1
A,1.0,ap>ci,5,24,0.9817404178318803,1
A,1.0,ci>ap,3,24,0.9554526584703816,1
A,1.0,ci>ap,5,24,0.9717990275526742,1
A,2.0,ninguna,5,24,0.9475015812776724,0
A,2.0,apertura,3,24,0.9564106658151046,1
A,2.0,apertura,5,24,0.9776107207059977,1
A,2.0,cierre,3,24,0.9467530415547479,0
A,2.0,cierre,5,24,0.945724203218681,0
A,2.0,ap>ci,3,24,0.9559527609320141,1
A,2.0,ap>ci,5,24,0.9774509803921568,1
A,2.0,ci>ap,3,24,0.9539735626692148,1
A,2.0,ci>ap,5,24,0.9731750934807348,1
A,1.0,ninguna,5,25,0.9356706839881046,0
A,1.0,apertura,3,25,0.9619845360824743,0
A,1.0,apertura,5,25,0.9799671592775041,1
A,1.0,cierre,3,25,0.9351866312665937,0
A,1.0,cierre,5,25,0.9337490257209665,0
A,1.0,ap>ci,3,25,0.9606172641054492,1
A,1.0,ap>ci,5,25,0.9801411455768915,1
A,1.0,ci>ap,3,25,0.9589875040051266,0
A,1.0,ci>ap,5,25,0.9760078341765954,1
A,2.0,ninguna,5,25,0.9503342884431709,0
A,2.0,apertura,3,25,0.9635130771714563,0
A,2.0,apertura,5,25,0.9754581151832461,1
A,2.0,cierre,3,25,0.9500477251034044,0
A,2.0,cierre,5,25,0.9486894360603654,0
A,2.0,ap>ci,3,25,0.9618049959709911,1
A,2.0,ap>ci,5,25,0.9754661432777233,1
A,2.0,ci>ap,3,25,0.9621273166800967,0
A,2.0,ci>ap,5,25,0.9743505963077929,1
A,1.0,ninguna,5,26,0.936302756579972,0
