dominio,imagen,sigma_u,alfa,ganancia_borde,amp_ruido,rms_rel,d_entropia
tiroides,tiroides_709.png,3.0,0.5,1.0668099582320563,1.8623322191904321,1.0229734652232552,-0.20802450871506828
tiroides,tiroides_709.png,3.0,1.0,1.1803982034881302,2.3976003567814854,1.035289997880136,-0.2245894204983534
tiroides,tiroides_709.png,3.0,1.5,1.3062075554732844,2.9653336913936057,1.0468694238524507,-0.2402842219463741
tiroides,tiroides_709.png,3.0,2.0,1.4495594568949728,3.5136934076947797,1.0577705998140197,-0.24539696423549895
tiroides,tiroides_710.png,1.0,0.5,1.055207332957966,1.7058783409694527,1.0111543356424852,0.02202128875450704
tiroides,tiroides_710.png,1.0,1.0,1.094297447358787,2.134573567525496,1.0207463828959522,0.038310809190504
tiroides,tiroides_710.png,1.0,1.5,1.152394546804082,2.602842883163359,1.0295953589715257,0.045209537805161126
tiroides,tiroides_710.png,1.0,2.0,1.2111801461268012,3.0754250684041176,1.0377638945374592,0.0490327785019673
tiroides,tiroides_710.png,1.5,0.5,1.088068296471195,1.7308809487510732,1.0204211575798376,0.03657134252058114
tiroides,tiroides_710.png,1.5,1.0,1.1944185731837558,2.2319521452012805,1.0373639571843365,0.05431347070931203
tiroides,tiroides_710.png,1.5,1.5,1.2966165615337868,2.7496288926155645,1.052529079725724,0.041333216314666466
tiroides,tiroides_710.png,1.5,2.0,1.3867564309075386,3.2690267758992833,1.0672121233129561,0.019343836699412975
tiroides,tiroides_710.png,2.0,0.5,1.1336328435142893,1.7649867203735945,1.0302945965687458,0.055076335603311044
tiroides,tiroides_710.png,2.0,1.0,1.2802140298812734,2.291108668266106,1.0542401098638594,0.034995873344874084
tiroides,tiroides_710.png,2.0,1.5,1.4037879705102891,2.8396575380936713,1.0760143723587376,0.002947379186616139
tiroides,tiroides_710.png,2.0,2.0,1.527380849293953,3.395331669702392,1.0969149131607747,-0.01896282375155689
tiroides,tiroides_710.png,3.0,0.5,1.2026206226577911,1.8033973376555639,1.0489179752228437,0.054244156726842796
tiroides,tiroides_710.png,3.0,1.0,1.369531722127379,2.3434889710897315,1.0865238867601557,-0.024638569510942787
tiroides,tiroides_710.png,3.0,1.5,1.5722216976135706,2.9500268802105483,1.120554426152694,-0.09389425748003788
tiroides,tiroides_710.png,3.0,2.0,1.7698489166265374,3.5633530454877356,1.1505880290907575,-0.16257873201036155
tiroides,tiroides_712.png,1.0,0.5,1.0830880907288052,1.5411029221059913,1.0108363314866737,-0.029619049284964838
tiroides,tiroides_712.png,1.0,1.0,1.1654562477790336,1.939828823376848,1.02104209333794,-0.03631169268347634
tiroides,tiroides_712.png,1.0,1.5,1.2525914984542128,2.333113599031728,1.0315112054956999,-0.0896552342440069
tiroides,tiroides_712.png,1.0,2.0,1.3425987610747991,2.772158943546296,1.0413978705065576,-0.12761714483944786
tiroides,tiroides_712.png,1.5,0.5,1.1449977748772107,1.5956006311057318,1.0200726673684708,-0.05519977312801316
tiroides,tiroides_712.png,1.5,1.0,1.2897104508691923,2.065461009769171,1.039269058248351,-0.13765535938287865
tiroides,tiroides_712.png,1.5,1.5,1.4389433064026795,2.6085037174721193,1.0569360162505614,-0.18280328935936563
tiroides,tiroides_712.png,1.5,2.0,1.585983110089894,3.2226809025676495,1.073629157293285,-0.2383554754979187
tiroides,tiroides_712.png,2.0,0.5,1.1961607970583974,1.6122211895910783,1.029690991514345,-0.0866452049481321
tiroides,tiroides_712.png,2.0,1.0,1.3813852952688066,2.162579968876978,1.0565386766438951,-0.1944856285704999
tiroides,tiroides_712.png,2.0,1.5,1.5770735017747888,2.81753587792859,1.08087807872461,-0.2669842733183607
tiroides,tiroides_712.png,2.0,2.0,1.7667068429417272,3.5216564364139367,1.1030931467199798,-0.35517284896855905
tiroides,tiroides_712.png,3.0,0.5,1.2650895127908897,1.6437062332497623,1.047971692110588,-0.15722409591074538
tiroides,tiroides_712.png,3.0,1.0,1.5109956676339078,2.3076424310538606,1.0880635860999694,-0.28929566693276154
tiroides,tiroides_712.png,3.0,1.5,1.7479378329974822,3.069010979510677,1.1225078783791005,-0.4617272568779338
tiroides,tiroides_712.png,3.0,2.0,1.9589137968446269,3.9001415665254604,1.1521217897293348,-0.6380770578463597
tiroides,tiroides_715.png,1.0,0.5,1.0610016452447675,1.7486798951977864,1.0020023183368743,0.0032561128143102636
tiroides,tiroides_715.png,1.0,1.0,1.1229578121539678,2.1883618241448177,1.0040587856552987,0.005894303384414101
tiroides,tiroides_715.png,1.0,1.5,1.1917380666113397,2.66084024991297,1.0060691785440503,0.005740609864457014
tiroides,tiroides_715.png,1.0,2.0,1.2577628042879048,3.151743344509793,1.0079738996946368,0.004297654187468858
tiroides,tiroides_715.png,1.5,0.5,1.1141923051281521,1.7562505725645392,1.004074450046217,0.0028349569522747586
tiroides,tiroides_715.png,1.5,1.0,1.2365288400602925,2.2465856831382034,1.0079368200821839,0.000858777067976213
tiroides,tiroides_715.png,1.5,1.5,1.361050669247563,2.7155645944410853,1.0115710068473356,-0.0017073049761542336
tiroides,tiroides_715.png,1.5,2.0,1.4916750193299018,3.198992286410524,1.0152004997265505,0.0020473221166312783
tiroides,tiroides_715.png,2.0,0.5,1.1676870900777256,1.7902966342366116,1.0062199350042447,-0.0012115847202140984
tiroides,tiroides_715.png,2.0,1.0,1.3400419970374866,2.260345554150864,1.011919924661743,-0.005666323194872369
tiroides,tiroides_715.png,2.0,1.5,1.5203951537694649,2.735385404642811,1.0174683453506699,-0.0011525053644056982
tiroides,tiroides_715.png,2.0,2.0,1.702772011374948,3.2242547499954193,1.023205299687269,0.006585491145147948
tiroides,tiroides_715.png,3.0,0.5,1.2403473098677138,1.7952142765532533,1.01031731679396,-0.010603241336663238
tiroides,tiroides_715.png,3.0,1.0,1.484365768487164,2.259601678301178,1.0195308516465291,-0.009606358530582781
tiroides,tiroides_715.png,3.0,1.5,1.7327787624724802,2.746188094321992,1.0289454388101085,-0.0013766470585130364
tiroides,tiroides_715.png,3.0,2.0,1.991469746883652,3.238256472269554,1.0390050789161258,-0.000640447900025265
tiroides,tiroides_719.png,1.0,0.5,1.0516660164087634,1.7260609796576416,1.014364794079763,0.022598395348479627
tiroides,tiroides_719.png,1.0,1.0,1.0997342335871283,2.1517758072929016,1.0271782907493543,0.05505726140040412
tiroides,tiroides_719.png,1.0,1.5,1.1814723146513177,2.603783963203566,1.0390964960776745,0.06825274123103853
tiroides,tiroides_719.png,1.0,2.0,1.266146760734954,3.088287732941344,1.0508905490647058,0.08529282654199566
tiroides,tiroides_719.png,1.5,0.5,1.088266016620804,1.7472947982360472,1.0261075654700922,0.05737523424359825
tiroides,tiroides_719.png,1.5,1.0,1.2335850078799595,2.2288017449855375,1.048286279999148,0.084351211173181
tiroides,tiroides_719.png,1.5,1.5,1.3755806599870337,2.7571814690122816,1.069873559904957,0.11354506366874162
tiroides,tiroides_719.png,1.5,2.0,1.5252948557355133,3.3286357816871357,1.0914187769699386,0.11479137892363589
tiroides,tiroides_719.png,2.0,0.5,1.1427702629992829,1.7765754658826878,1.0377425883470874,0.07889482934304581
tiroides,tiroides_719.png,2.0,1.0,1.3385330552773995,2.307970980131822,1.0693390400084661,0.12317105918133642
tiroides,tiroides_719.png,2.0,1.5,1.5313680966862822,2.903105884584381,1.100336529790083,0.1175274373617965
tiroides,tiroides_719.png,2.0,2.0,1.7311915993746922,3.4901228128408177,1.1304194214035193,0.08780786360810744
tiroides,tiroides_719.png,3.0,0.5,1.2137324397234779,1.8159040257954386,1.05841142718015,0.12766911057839625
tiroides,tiroides_719.png,3.0,1.0,1.4669195427768098,2.4028925032007207,1.1063597434603178,0.11672965072785058
tiroides,tiroides_719.png,3.0,1.5,1.7277185065342968,3.0351652520271237,1.1515354349989124,0.03826588422411081
tiroides,tiroides_719.png,3.0,2.0,1.9779730878044306,3.720878182938973,1.1925704006011626,-0.0416237988461603
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,1.0,0.5,1.2118515378871622,1.5037788890444397,1.0060111394243476,-0.09136425157592676
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,1.0,1.0,1.3813489031721444,2.015267494653955,1.0100538803096775,-0.20095304028763294
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,1.0,1.5,1.5371810164182307,2.5255843825824105,1.0138407964323968,-0.2942159210476989
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,1.0,2.0,1.6802949484471048,3.0239445749670413,1.0175529467667463,-0.3620728606804118
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,1.5,0.5,1.2875355666942776,1.5575790428406788,1.008558338446674,-0.15168168321780762
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,1.5,1.0,1.5162822378248624,2.1183448127607085,1.0148367670781446,-0.27508235639018075
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,1.5,1.5,1.7288981942159,2.6745763139194882,1.0208523896540744,-0.37223648312459545
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,1.5,2.0,1.9236342891038478,3.23029427629846,1.0265095738638181,-0.45204538790551485
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,2.0,0.5,1.3270017986236893,1.5756796261119208,1.0108901514703772,-0.18710563835181482
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,2.0,1.0,1.593734516986322,2.149311731972566,1.019303618206713,-0.3195618407738312
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,2.0,1.5,1.8375162638214135,2.7248785653292322,1.0270404113550695,-0.4324167208181935
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,2.0,2.0,2.0602432423109076,3.297544634415458,1.0339053673008831,-0.5277218017779042
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,3.0,0.5,1.3600569204544346,1.5897183432203923,1.0152099809590576,-0.233680430750411
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,3.0,1.0,1.669932830950126,2.167724154037748,1.0272430800929573,-0.3926761466880162
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,3.0,1.5,1.9335702178592735,2.746238859227343,1.0373654897482842,-0.531216327085791
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,3.0,2.0,2.1789218950377256,3.3089174615791386,1.0458429751661356,-0.65511015775511
clima,clima_02_lyell_glacier_1883_2015.jpg,1.0,0.5,1.1970240809059478,1.4908509179084757,1.0242613239597034,0.05368183464080012
